Read_ID	Hap1_Count	Hap2_Count	Other_Count
SRR17968712.1396227	0	10	2
SRR17968712.2590680	2	10	1
SRR17968712.3362896	0	1	0
SRR17968712.1975406	5	0	1
SRR17968712.696567	0	6	0
SRR17968712.1303255	28	0	0
SRR17968712.632530	5	0	1
SRR17968712.3416535	1	37	0
SRR17968712.835682	1	4	0
SRR17968711.2469670	4	1	0
SRR17968711.1057081	3	19	0
SRR17968711.2449576	0	33	1
SRR17968712.1122751	0	1	0
SRR17968712.1833886	0	1	0
SRR17968712.2292217	2	8	0
SRR17968711.2113655	0	8	0
SRR17968712.2528892	2	29	1
SRR17968712.3529132	0	1	0
SRR17968712.1441731	12	0	0
SRR17968712.1422250	2	32	0
SRR17968712.934711	28	2	2
SRR17968712.2461628	4	0	0
SRR17968711.1028166	1	26	1
SRR17968711.2157697	0	16	0
SRR17968712.2619939	33	0	0
SRR17968712.2840197	0	6	0
SRR17968711.1038954	1	14	1
SRR17968711.1447033	12	0	0
SRR17968712.2363726	0	6	0
SRR17968712.1158872	20	1	1
SRR17968712.1441648	6	0	0
SRR17968711.1863341	4	0	0
SRR17968711.1845720	5	0	0
SRR17968712.1740495	1	2	0
SRR17968712.2405672	7	0	0
SRR17968712.1189894	5	0	1
SRR17968712.772926	6	0	0
SRR17968711.792120	16	1	1
SRR17968711.1009464	0	16	1
SRR17968712.2958109	0	5	1
SRR17968712.737492	3	14	1
SRR17968712.1692704	4	0	0
SRR17968712.3533574	0	4	0
SRR17968712.1226001	1	9	0
SRR17968711.2344481	0	22	0
SRR17968712.3323706	0	3	0
SRR17968711.1524417	1	10	0
SRR17968711.568782	1	23	0
SRR17968712.96408	0	27	1
SRR17968711.1576393	1	8	0
SRR17968712.1416707	1	3	0
SRR17968711.2098912	2	18	3
SRR17968712.983230	8	1	0
SRR17968712.108876	2	22	0
SRR17968712.2760503	1	3	0
SRR17968712.1797019	2	0	0
SRR17968711.2482408	27	0	0
SRR17968711.733926	23	0	0
SRR17968712.894638	0	2	0
SRR17968711.1049877	1	26	0
SRR17968711.124653	2	23	0
SRR17968712.748806	5	20	0
SRR17968712.1931341	1	0	0
SRR17968712.3570724	0	1	0
SRR17968712.2001666	0	11	1
SRR17968712.593433	8	0	0
SRR17968711.2010974	1	7	0
SRR17968712.2287819	1	5	2
SRR17968711.655233	3	17	0
SRR17968712.3731898	2	22	1
SRR17968711.1609017	8	0	0
SRR17968712.1839366	13	0	0
SRR17968712.1173161	6	0	0
SRR17968711.2319056	6	0	1
SRR17968711.1752201	10	0	1
SRR17968712.307976	23	2	0
SRR17968712.1803452	7	0	0
SRR17968711.782158	2	21	0
SRR17968712.1119456	0	2	0
SRR17968711.404204	22	0	0
SRR17968712.2828228	4	0	0
SRR17968711.372350	42	0	1
SRR17968711.588004	19	1	0
SRR17968712.1429509	20	1	0
SRR17968711.35970	19	1	1
SRR17968712.2115950	4	0	0
SRR17968711.2425442	1	17	2
SRR17968712.350139	19	0	0
SRR17968711.1179020	8	0	0
SRR17968711.2072483	5	0	1
SRR17968711.721377	14	2	0
SRR17968712.1859548	0	4	0
SRR17968712.2068687	3	0	0
SRR17968711.781759	1	13	2
SRR17968712.2258688	0	0	1
SRR17968711.1615074	1	16	1
SRR17968712.700319	3	10	1
SRR17968712.358412	0	1	0
SRR17968711.174442	16	0	1
SRR17968711.1490696	11	0	0
SRR17968712.1071697	15	1	1
SRR17968711.2373561	4	11	0
SRR17968712.3463070	15	0	1
SRR17968712.2209558	0	10	1
SRR17968712.2704552	1	0	0
SRR17968711.231942	0	5	0
SRR17968711.849924	14	2	1
SRR17968711.1224504	4	12	0
SRR17968712.3702746	3	1	0
SRR17968711.2728	11	1	0
SRR17968711.598968	1	0	0
SRR17968711.1150879	17	0	0
SRR17968712.3539893	5	0	0
SRR17968712.510685	0	3	0
SRR17968712.3342348	2	0	0
SRR17968711.1384699	1	13	1
SRR17968712.2802197	0	3	0
SRR17968712.1806926	14	0	1
SRR17968711.543531	15	0	0
SRR17968712.3723258	0	3	0
SRR17968712.3252689	2	0	0
SRR17968712.1698560	1	0	0
SRR17968712.1218806	0	14	0
SRR17968712.2497420	2	0	0
SRR17968712.688474	0	2	0
SRR17968712.216884	0	13	0
SRR17968712.2390294	1	0	0
SRR17968712.1150904	0	1	0
SRR17968712.937177	1	11	0
SRR17968711.254725	11	0	1
SRR17968712.631022	0	1	0
SRR17968712.1913602	13	0	0
SRR17968711.1305701	0	11	0
SRR17968711.2146314	10	1	0
SRR17968711.1448911	0	7	1
SRR17968712.1770792	8	0	1
SRR17968712.3168635	1	6	1
SRR17968711.199278	11	0	0
SRR17968712.724629	11	0	0
SRR17968711.1187899	10	0	0
SRR17968712.2030452	0	12	0
SRR17968711.623817	9	1	0
SRR17968712.2797879	1	8	1
SRR17968712.2798552	3	6	1
SRR17968712.958919	0	6	0
SRR17968712.3214439	9	0	0
SRR17968712.2023521	0	7	0
SRR17968711.1476173	0	2	0
SRR17968712.2048260	0	1	0
SRR17968711.319607	11	0	0
SRR17968711.315393	12	0	0
SRR17968712.1157608	1	0	0
SRR17968711.249029	0	11	0
SRR17968711.943976	1	10	0
SRR17968711.436682	0	7	2
SRR17968712.3579297	4	0	0
SRR17968712.2789932	4	0	0
SRR17968711.1700994	6	0	0
SRR17968712.3662922	0	1	0
SRR17968711.407606	5	1	0
SRR17968712.1272071	0	5	0
SRR17968712.1947279	0	2	0
SRR17968712.3225940	4	1	0
SRR17968712.2033506	0	5	0
SRR17968711.734836	4	0	1
SRR17968712.2740417	5	0	0
SRR17968712.1286127	1	4	0
SRR17968711.40739	0	5	0
SRR17968711.398253	4	1	0
SRR17968712.994722	0	2	0
SRR17968711.140165	7	1	0
SRR17968712.2581290	3	1	0
SRR17968712.475153	5	0	0
SRR17968712.3193157	0	2	0
SRR17968711.586194	4	0	0
SRR17968712.2509329	5	0	0
SRR17968711.1643884	2	0	0
SRR17968711.1681093	1	0	0
SRR17968711.2102834	3	0	0
SRR17968712.3699163	2	1	0
SRR17968711.1721284	3	0	0
SRR17968712.3744800	1	0	0
SRR17968712.1427013	0	2	1
SRR17968712.3368772	1	0	0
SRR17968712.2974043	0	2	0
SRR17968711.1050503	2	0	0
SRR17968711.2060707	0	2	0
SRR17968712.1848735	0	2	0
SRR17968712.1804994	2	0	0
SRR17968711.1767016	0	2	0
SRR17968711.2127809	2	0	0
SRR17968711.97403	2	0	0
SRR17968712.1207242	0	2	0
SRR17968712.598542	2	0	0
SRR17968712.3089117	0	2	0
SRR17968711.2301231	1	1	0
SRR17968712.857878	2	0	0
SRR17968712.1572121	0	2	0
